database_name,espn_id,canonical_name,display_name,match_confidence,game_count,conference
Lincoln University (CA) Oaklanders,2473,Oakland,Oakland Golden Grizzlies,80,3,Unknown
Central Penn,219,Penn,Pennsylvania Quakers,80,3,Unknown
Coastal Georgia Mariner,324,Coastal,Coastal Carolina Chanticleers,80,3,Unknown
Alabama A%26M,333,Alabama,Alabama Crimson Tide,80,3,Unknown
North Dakota Fighting,155,North Dakota,North Dakota Fighting Hawks,80,3,Unknown
Army Black,349,Army,Army Black Knights,80,3,Unknown
Georgian Court,61,Georgia,Georgia Bulldogs,80,2,Unknown
Texas Lutheran,251,Texas,Texas Longhorns,80,2,Unknown
Citadel,2643,The Citadel,The Citadel Bulldogs,80,2,Unknown
BYU,252,BYU,BYU Cougars,100,2,Unknown
VCU,2670,VCU,VCU Rams,100,2,Unknown
Texas A&M-San Antonio,245,Texas A&M,Texas A&M Aggies,80,2,Unknown
Hawai'i Pacific Sea,279,Pacific,Pacific Tigers,80,2,Unknown
Eastern Oregon,2483,Oregon,Oregon Ducks,80,2,Unknown
Howard Payne,47,Howard,Howard Bison,80,2,Unknown
Notre Dame (MD),87,Notre Dame,Notre Dame Fighting Irish,80,2,Unknown
Tennessee Wesleyan,2633,Tennessee,Tennessee Volunteers,80,2,Unknown
Trinity College of Jacksonville,294,Jacksonville,Jacksonville Dolphins,80,2,Unknown
Indiana University East IU EAST,84,Indiana,Indiana Hoosiers,80,2,Unknown
Seattle U,2547,Seattle U,Seattle U Redhawks,100,2,Unknown
Washington Adventist Shock,264,Washington,Washington Huskies,80,2,Unknown
